,VTI,VEA,VWO,BND,EMB
10/11/16,-0.0133165,-0.01453961,-0.01858636,-0.001558346,-0.007963696
10/12/16,0.001185457,-0.001366099,-0.001066976,0.000600257,0
10/13/16,-0.003552231,-0.002735936,-0.00614151,0.001199977,0.002330637
10/14/16,-0.000274212,0.000823012,0.002686687,-0.002037462,-0.004994849
10/17/16,-0.002834463,-0.001644774,-0.001875662,0.002161646,0.00025964
10/18/16,0.005868324,0.01070849,0.01771812,0.001318162,0.0015575
10/19/16,0.003190575,0.003531574,0.005275673,0.000718109,0.00129591
10/20/16,-0.001908284,0,-0.001311972,-0.00059798,0.0008628
10/21/16,-0.000364105,-0.00216562,0.000262699,0.000837618,0.00413796
10/24/16,0.005009066,-0.001356463,0.00499077,-0.001434753,-8.59E-05
10/25/16,-0.004259186,-0.000815066,-0.000784077,0,0.000429256
10/26/16,-0.003003224,-0.004893973,-0.007324059,-0.001795904,-0.005835911
10/27/16,-0.003377478,-0.001092817,-0.007641658,-0.002758826,-0.008546253
10/28/16,-0.003297313,-0.000547059,-0.005576184,-0.000481127,-0.002437952
10/31/16,0.000643261,-0.000821089,0.00801066,0.00108308,0.001047419
11/1/16,-0.007438677,-0.002738934,-0.007417186,-0.000330574,-0.00102081
11/2/16,-0.006939304,-0.007415558,-0.01147586,0.000963878,-0.001051549
11/3/16,-0.004379029,-0.000553416,-0.00242981,-0.000601866,0.002631606
11/4/16,-0.00065506,-0.008305627,-0.01055479,0.001806594,-0.00244975
11/7/16,0.02209945,0.01367956,0.03391679,-0.001322441,0.008068811
11/8/16,0.004306012,0.00247866,0.004761913,-0.001805724,0.002610018
11/9/16,0.01258892,-0.001648389,-0.02632965,-0.009889047,-0.01483859
11/10/16,0.003333358,-0.003302117,-0.02893455,-0.004263075,-0.03690657
11/11/16,0.000359171,-0.008006651,-0.01837928,-0.001834881,-0.005761819
11/14/16,0.002602938,-0.004453099,-0.004822643,-0.00379899,-0.00505929
11/15/16,0.007788745,0.006150439,0.01881413,0.001353187,0.01719668
11/16/16,-0.001421303,-0.009169264,-0.008114183,0.00208843,-0.000636245
11/17/16,0.00507072,0.006730277,0.00028204,-0.004045628,-0.002091821
11/18/16,-0.001858795,-0.00891364,-0.002256007,-0.002461804,-0.005650772
11/21/16,0.00753752,0.008712691,0.009892551,-0.000123422,0.004399664
11/22/16,0.002904367,0.003064938,0.01091518,0.000863874,0.004380323
11/23/16,0.001404157,-0.003611141,-0.009689881,-0.002589385,-0.007450479
11/25/16,0.00385595,0.001951483,0.005311675,0.000370859,0.000640788
11/28/16,-0.005761708,-0.003617063,0.00500557,0.002348028,0.003476396
11/29/16,0.001404896,0.005584947,0.000553416,0.000739706,-0.001002832
11/30/16,-0.00236742,-0.001388482,0.00165933,-0.003449535,-0.002463992
12/1/16,-0.00413079,-0.002502785,-0.01131971,-0.003705132,-0.005530312
12/2/16,0,0.002787909,-0.001117032,0.003605631,0.000646589
12/5/16,0.006972032,0.007784231,0.006709473,0.001238831,0.004246276
12/6/16,0.005083276,0.006896552,0.004165552,-0.000123758,0.00487176
12/7/16,0.01238227,0.01315067,0.01493365,0.002351224,0.005854367
12/8/16,0.003617555,0.000811216,0.004632103,-0.001975354,-0.000636592
12/9/16,0.005406839,0.002972186,-0.004610745,-0.002968801,-0.004185996
12/12/16,-0.002560846,-0.00323273,-0.008174366,-0.00111658,0.002558702
12/13/16,0.005819429,0.01054052,0.01016481,0.001117828,0.003099116
